"sex","income2000","totalITPA_10","grade_6yr","highest_edu","len_of_edu","num_field","edu_field","age_start_highedu","qual_job","len_unemp","age_work","age1991","family.income"
"Female",8609.54,32,8.39999997615816,NA,0,0,"Science",NA,"No",0,17,26,NA
"Male",36810.4505249986,35,6.69999998807905,3,36,1,"Science",16,"Yes",0,22,26,22574.0153017376
"Male",23546.3097046115,32,7.89999997615816,7,45,1,"Science",25,NA,0,NA,27,NA
"Female",7400.60514015941,31,NA,NA,NA,NA,"Art",NA,NA,NA,NA,25,NA
"Female",3038.81945530658,34,6.69999998807905,3,41,3,"Science",NA,"No",0,23,25,19343.1252344119
"Male",24836.1429126449,35,7.69999998807905,5,36,1,"Science",21,NA,0,25,27,15761.3951524876
"Male",20697.7107941329,32,6.5,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",5055.73,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",26133.0400135896,39,7.59999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,25,22269.0905910628
"Female",12453.48,36,8.39999997615816,4,27,1,"Science",21,"Somewhat",0,24,27,18639.7633259499
"Female",15335.38,36,9,7,41,1,"Science",NA,NA,0,NA,25,NA
"Female",30036.0090350554,38,8.19999992847442,3,5,1,"Science",20,"No",0,22,23,29586.1063317708
"Male",29224.3341019522,44,8.89999997615816,7,63,1,"Science",20,"Yes",NA,NA,26,20655.6638125175
"Male",25833.67,39,NA,6,27,1,"Science",NA,NA,0,NA,25,NA
"Female",10055.1151835014,39,8.09999990463258,NA,0,NA,"Science",NA,"No",1,17,24,NA
"Male",29769.77,37,8.09999990463258,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",7934.1,40,8.19999992847442,3,18,1,"Science",NA,"Yes",0,19,24,NA
"Male",26133.0400135896,36,6.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",12167.39,39,7.5,3,5,1,"Science",21,"Yes",0,22,24,26118.7440398404
"Male",17341.02,31,8.5,5,36,1,"Science",NA,NA,0,NA,24,NA
"Male",40881.4392849995,47,NA,7,63,1,"Science",19,"Yes",0,24,26,NA
"Female",18886.6632019954,34,8.39999997615816,5,32,3,"Science",20,NA,0,NA,24,NA
"Female",11970.1029141922,40,8.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,17402.0683751196
"Male",14483.503287233,30,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",19376.9310076307,38,7.69999998807905,5,40,1,"Science",17,"Somewhat",0,26,27,16982.7758744511
"Male",22992.1304869209,46,7.59999996423721,3,27,1,"Science",NA,"Yes",0,22,24,NA
"Male",27664.3910840216,32,6.39999997615816,3,9,1,"Science",16,"Somewhat",0,21,27,11719.671091691
"Male",23906.2318672392,25,6.69999998807905,3,24,1,"Science",16,"Yes",0,17,25,20424.7417894859
"Female",22670.7233594529,38,8.69999992847442,4,27,1,"Science",20,"Yes",0,24,25,NA
"Male",23357.7710390482,41,7.39999997615816,7,54,1,"Science",20,NA,0,NA,26,NA
"Female",13869.9537315014,36,8.59999990463258,7,54,1,"Art",23,NA,0,NA,26,26660.1409751199
"Male",40683.65,53,8.5,7,36,1,"Science",NA,"Yes",0,23,25,38223.9018589811
"Male",86093.2131126035,33,7.79999995231626,3,22,1,"Science",16,"Yes",1,20,24,21121.5443688159
"Male",15798.56,32,7.29999995231626,5,36,1,"Science",NA,NA,0,NA,24,NA
"Male",17516.4361651135,34,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,23058.0601540938
"Male",40881.4392849995,47,NA,7,63,1,"Science",20,"Yes",0,24,25,NA
"Male",46929.8134964083,39,8.09999990463258,5,22,1,"Science",NA,"Somewhat",0,26,26,15511.9724575452
"Female",17189.8152119252,33,8,NA,NA,0,"Science",NA,NA,NA,NA,25,NA
"Male",13289.37,40,7.39999997615816,3,25,1,"Science",NA,"Yes",0,21,27,13555.274121092
"Male",23906.2318672392,39,7.5,5,45,1,"Science",19,"Yes",2,25,27,NA
"Male",29752.2760031148,42,7.39999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,26,20584.6885075508
"Male",32997.4620441897,37,7.19999998807905,3,27,1,"Science",16,"Yes",1,18,24,NA
"Female",5356.11270609328,21,8.5,4,18,1,"Science",NA,"Somewhat",0,22,24,NA
"Female",16790.0325107262,33,7.69999998807905,7,45,1,"Art",21,NA,0,NA,26,16292.532624253
"Female",3188.84308571025,28,6.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,25,26005.7217532582
"Male",26356.7299557834,36,6.69999998807905,3,5,1,"Science",16,"No",0,NA,26,NA
"Male",19761.0722316688,30,7.79999995231626,4,15,1,"Science",NA,"Yes",0,22,23,NA
"Male",21523.513513059,33,7.09999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Male",11529.786922716,30,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,14682.8059800899
"Male",46718.57,42,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",36810.4505249986,36,8.59999990463258,7,18,1,"Science",NA,NA,0,NA,24,NA
"Male",19170.7326097889,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",12250.3,40,7.5,3,13,2,"Science",20,"Yes",0,22,23,NA
"Female",5456.18452233788,33,6.5,3,8,1,"Science",16,"Yes",0,17,23,NA
"Male",22435.7648261862,34,7.39999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,26,21073.4426218479
"Male",12979.0622850348,39,NA,5,45,2,"Science",23,NA,0,23,26,12402.8504489777
"Female",6130.62,34,6.79999995231626,3,41,1,"Science",NA,"Yes",0,20,24,NA
"Female",12106.34,43,8,4,37,2,"Science",19,"Yes",0,21,25,21897.3952735829
"Male",6822.04,40,NA,3,18,1,"Science",NA,NA,2,NA,25,NA
"Male",46991.87,48,8.89999997615816,4,18,1,"Science",20,"Somewhat",0,24,27,20584.6885075508
"Male",26937.6510537815,27,6.5,NA,NA,NA,"Science",NA,NA,NA,NA,26,28269.6994313566
"Male",22787.9503441966,35,7.69999998807905,5,40,1,"Science",NA,NA,0,NA,24,NA
"Female",23876.97,36,8,7,45,1,"Art",23,"Yes",2,25,27,22109.3120609244
"Female",2476.06265336636,38,8,3,13,1,"Science",NA,"No",0,21,24,24430.1372581668
"Female",15297.53,31,8.09999990463258,7,54,1,"Art",23,NA,0,NA,24,20655.6638125175
"Female",16614.2761275739,35,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",7934.1,44,8.59999990463258,4,27,1,"Science",17,"No",0,22,24,20860.1803310948
"Female",19747.6171975519,41,8.5,6,36,1,"Art",NA,NA,0,25,24,21897.3952735829
"Female",42473.84,41,8.79999995231626,7,45,1,"Science",NA,"Yes",0,25,25,26496.15774682
"Female",15997.8673770925,27,6.39999997615816,3,9,1,"Science",NA,"Yes",0,19,27,NA
"Male",4950.9479912475,41,8.09999990463258,3,18,1,"Science",NA,"No",4,18,25,28857.8526101926
"Male",20164.0505034706,34,6.39999997615816,3,9,1,"Science",17,"No",3,18,26,23058.0601540938
"Male",11927.89,34,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",5638.3320466957,NA,NA,NA,0,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",35070.2100499014,45,8.5,7,36,1,"Science",NA,NA,0,NA,23,38250.811927215
"Female",33531.63,40,8.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",22957.82,36,7.29999995231626,3,18,1,"Science",16,"Somewhat",0,17,26,NA
"Male",29752.2760031148,37,6.79999995231626,4,54,1,"Science",20,"Yes",0,24,27,16870.2581516483
"Male",36699.9510573134,42,8,7,27,1,"Science",NA,NA,0,NA,25,17681.7648968251
"Female",16031.1685865318,29,NA,4,27,1,"Science",17,"Yes",0,19,25,NA
"Male",6889.15,30,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,18496.4672126047
"Male",5945.44,23,NA,3,18,1,"Science",NA,"Yes",0,21,24,NA
"Female",11528.27,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",18373.1854625084,29,7.19999998807905,5,45,2,"Science",20,NA,2,22,25,NA
"Female",15997.8673770925,33,7.69999998807905,3,18,1,"Science",NA,"Yes",0,18,25,NA
"Male",26356.7299557834,36,7.59999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,25,27793.2230356912
"Female",13944.124607071,36,NA,3,18,1,"Science",20,"Yes",0,23,27,NA
"Male",72868.4282670084,37,8,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Female",7824.9432786218,37,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,16597.9618987071
"Male",72122.18,40,8.09999990463258,5,22,1,"Science",20,"Yes",0,24,24,27263.9356311168
"Female",23731.4846116457,32,7.89999997615816,7,45,1,"Science",25,"No",2,NA,27,NA
"Female",12326.32,37,8.59999990463258,7,45,2,"Art",25,NA,0,NA,25,NA
"Female",17478.0893178802,27,8.89999997615816,7,36,1,"Art",NA,NA,0,NA,23,NA
"Male",17130.4448738843,34,6.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",19834.402167606,33,6.39999997615816,3,27,1,"Science",17,NA,NA,21,25,17535.2732128771
"Male",17354.1348160781,39,8.39999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,25,30173.5867589009
"Male",19054.0101888246,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",32909.6679465768,37,8.09999990463258,7,63,1,"Science",20,"Yes",NA,26,26,25527.8998541811
"Female",16988.1578880978,27,7.19999998807905,NA,0,0,"Science",NA,NA,0,NA,25,14954.7658571782
"Female",15292.15083766,36,8.19999992847442,5,27,1,"Science",NA,NA,1,NA,24,NA
"Female",15909.4,38,8.69999992847442,7,45,1,"Science",22,NA,0,NA,25,26660.1409751199
"Female",8075.87966490238,43,NA,4,32,2,"Science",NA,"Somewhat",0,24,26,NA
"Male",20841.5114712575,37,7.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,26,13610.7761368242
"Male",8945.91580848777,36,7.5,3,5,1,"Science",16,NA,0,17,25,NA
"Male",3588.12122312988,41,7.89999997615816,7,54,1,"Science",NA,"Somewhat",3,NA,27,NA
"Female",NA,31,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,23,23583.4792363596
"Female",21332.28,NA,NA,NA,0,NA,"Science",NA,"Yes",0,16,NA,NA
"Male",13231.01,31,7,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",13618.1764055885,27,7.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,25,34580.6149959719
"Male",15189.5562025184,34,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Male",19109.85,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",30533.17,40,8.79999995231626,5,30,2,"Science",22,NA,0,20,23,32724.3248516162
"Male",23012.9857898021,33,7.09999996423721,3,18,1,"Science",16,"Yes",0,19,27,17351.2756213282
"Male",15082.5886812889,34,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Male",20410.28,45,8.79999995231626,7,39,1,"Science",19,"Somewhat",2,NA,25,22182.1374330822
"Female",19099.25,23,7.79999995231626,3,18,1,"Science",16,"No",0,17,26,NA
"Male",NA,24,6.5,3,18,1,"Science",22,"Yes",0,22,25,NA
"Female",8075.87966490238,41,8.29999995231626,NA,NA,0,"Science",NA,NA,NA,NA,26,13566.0381483855
"Male",4618.27,40,6.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,26,19452.111010759
"Male",24379.6808802283,42,7.79999995231626,3,27,1,"Science",16,"Yes",2,22,25,NA
"Female",5880.85903665319,34,7.19999998807905,3,46,1,"Science",NA,"No",0,21,27,NA
"Female",12657.49,38,8.59999990463258,7,45,1,"Science",21,NA,0,NA,25,NA
"Male",19309.8240249725,36,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",19388.704162483,38,NA,7,18,1,"Art",21,NA,0,NA,25,NA
"Male",22435.7648261862,39,NA,7,27,1,"Art",NA,NA,0,NA,25,NA
"Female",13843.7164149734,37,8.59999990463258,NA,0,NA,"Science",NA,NA,0,NA,23,NA
"Male",23759.4038074383,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",23727.2799134841,27,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",9776.76,34,8.19999992847442,4,18,1,"Science",23,NA,0,NA,24,NA
"Female",4843.81228209152,35,7.79999995231626,4,18,1,"Science",19,"Yes",0,20,25,NA
"Female",20653.98,30,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,27,16869.2490240896
"Female",20306.34,38,8.19999992847442,3,18,1,"Science",17,"Somewhat",0,20,25,NA
"Female",9796.77852845656,37,NA,7,54,1,"Art",20,NA,0,NA,25,NA
"Male",8945.91580848777,39,7.19999998807905,NA,NA,0,"Science",NA,NA,NA,NA,25,10789.5918583589
"Male",5333.23914809451,41,NA,4,27,1,"Science",22,"Yes",4,23,26,19452.111010759
"Female",16489.8170619924,45,8.69999992847442,NA,NA,NA,"Science",NA,NA,2,NA,24,NA
"Male",25385.44,29,6.89999997615816,4,19,1,"Science",19,"Yes",0,21,25,NA
"Male",11187.19,28,7.29999995231626,3,26,1,"Science",21,"Yes",0,22,27,NA
"Female",9054.06064520252,35,8.69999992847442,NA,9,0,"Science",NA,NA,0,NA,23,NA
"Male",15082.5886812889,35,NA,4,42,2,"Science",21,"Yes",0,26,26,12402.8504489777
"Female",9023.79,44,8.5,NA,NA,0,"Science",NA,"Yes",NA,NA,25,NA
"Female",2476.06265336636,28,6.29999995231626,NA,0,NA,"Science",NA,NA,3,NA,24,NA
"Female",5356.11270609328,34,7.79999995231626,3,28,2,"Science",NA,"Yes",0,22,27,20372.4353443564
"Male",10000.45,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",24511.0356507948,36,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",16897.1682198822,29,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",23759.4038074383,25,NA,3,18,1,"Science",16,"No",3,NA,27,NA
"Male",20424.9099774124,36,8.59999990463258,4,21,1,"Science",22,"Yes",0,26,25,NA
"Female",42473.84,41,NA,NA,NA,0,"Science",NA,NA,NA,23,24,25775.6406698589
"Male",28119.51,40,NA,3,9,1,"Science",NA,"Yes",0,19,24,NA
"Female",24511.0356507948,36,8.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,27,16869.2490240896
"Female",5632.95,21,7.79999995231626,4,18,1,"Science",20,"Yes",1,23,25,17553.1011330821
"Male",19054.0101888246,33,6.79999995231626,NA,NA,0,"Science",NA,NA,NA,17,24,NA
"Male",16897.1682198822,34,7.69999998807905,3,18,1,"Science",16,"Somewhat",0,17,24,NA
"Male",15798.56,33,7.39999997615816,4,36,2,"Science",23,NA,3,19,25,NA
"Female",13313.59,32,8.19999992847442,7,41,2,"Science",21,NA,1,NA,25,NA
"Male",12880.8405359813,42,7.5,3,25,1,"Science",16,"No",0,19,23,18795.6735337797
"Female",4853.9,34,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",20306.34,38,NA,7,36,2,"Science",23,NA,0,NA,27,NA
"Female",11933.27,27,6.79999995231626,NA,0,NA,"Science",NA,NA,0,NA,24,18396.3953963601
"Female",6759.98,39,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,12715.5118042696
"Female",18613.5260094219,31,7.09999996423721,3,27,2,"Science",21,"Yes",1,18,26,NA
"Female",14416.2281166484,40,8.29999995231626,4,36,1,"Science",NA,"Yes",0,23,26,NA
"Female",10868.1356200164,35,6.5,NA,NA,NA,"Science",NA,NA,NA,NA,24,21074.7881252596
"Male",26553.005265964,22,6.79999995231626,4,45,1,"Science",24,NA,0,NA,27,17396.6863614729
"Female",15909.4,33,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,17315.6197809184
"Female",18613.5260094219,34,8,NA,0,NA,"Science",NA,NA,0,NA,24,23975.3571050149
"Male",26532.6545268621,27,6.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",96472.5946183227,32,7.29999995231626,4,27,1,"Science",24,"Yes",0,19,26,NA
"Male",24817.6422407341,38,6.69999998807905,NA,0,NA,"Science",NA,NA,0,NA,23,28540.8183688126
"Male",5945.44,33,7.09999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",27664.3910840216,33,7.89999997615816,5,36,1,"Science",NA,NA,0,24,25,20776.5909316434
"Male",46718.57,34,NA,3,9,1,"Science",16,"Yes",1,22,27,28269.6994313566
"Female",4818.24771726937,43,8,4,23,1,"Science",NA,"No",0,23,24,30173.5867589009
"Female",15308.6332544532,41,7.79999995231626,3,27,1,"Science",16,NA,0,19,23,25003.6580874005
"Male",26268.4312943911,35,7.19999998807905,4,54,1,"Science",21,"Yes",0,23,25,17199.57011166
"Male",NA,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",24379.6808802283,41,NA,4,27,1,"Science",21,"No",0,23,26,17351.2756213282
"Female",13313.59,30,8.79999995231626,7,45,2,"Art",NA,NA,0,NA,25,NA
"Female",11246.22,27,7.5,4,23,2,"Science",NA,"Somewhat",0,23,25,NA
"Female",4843.81228209152,35,7.39999997615816,3,18,1,"Science",16,"Yes",0,18,25,16343.9981297503
"Male",26445.36,35,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",19761.0722316688,33,5.89999997615816,3,29,1,"Science",20,"Yes",1,24,25,19959.7021728198
"Male",24151.786239873,34,7.39999997615816,3,18,1,"Science",17,"Somewhat",0,20,25,NA
"Female",15909.4,33,7.5,5,22,1,"Science",NA,NA,0,NA,24,NA
"Male",41882.3256353719,31,NA,NA,NA,NA,"Science",NA,NA,NA,NA,23,NA
"Male",24999.7897650919,31,7.29999995231626,NA,0,NA,"Science",NA,NA,1,NA,25,NA
"Female",21928.17,35,7.19999998807905,3,21,2,"Science",NA,"Somewhat",0,18,24,27969.9885464021
"Male",46803.84,32,6.5,3,14,1,"Art",NA,"No",0,19,24,18215.9297512669
"Male",19611.05,40,NA,7,63,1,"Science",21,"Yes",0,26,26,22109.3120609244
"Female",24555.27,32,7.79999995231626,6,27,1,"Art",NA,NA,0,24,25,NA
"Female",5951.5,43,NA,3,18,1,"Science",16,"Yes",0,21,27,10935.9153543804
"Female",14105.92,28,7.59999996423721,4,54,2,"Science",24,"Yes",3,22,25,NA
"Male",16131.7449665558,35,7.29999995231626,3,36,2,"Science",19,NA,2,19,25,18715.1115170046
"Male",20696.7016665742,41,7.19999998807905,7,54,1,"Science",19,"Somewhat",2,25,27,13183.578803612
"Male",12236.8489655602,30,7,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",15904.1867020534,18,6.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",8075.87966490238,44,NA,NA,NA,0,"Science",NA,NA,NA,NA,27,NA
"Male",21886.6312462894,38,NA,NA,0,NA,"Science",NA,"Yes",2,17,24,NA
"Female",23876.97,41,9.39999997615816,7,45,1,"Art",21,"Yes",0,24,26,38675.6546294568
"Female",7808.96542560796,33,NA,3,18,1,"Science",16,NA,1,20,24,NA
"Female",13944.124607071,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",16988.1578880978,27,7.09999996423721,5,36,2,"Science",NA,NA,0,25,25,NA
"Male",40807.1002215035,37,NA,4,36,1,"Science",20,"Yes",0,23,25,NA
"Male",NA,45,NA,NA,0,0,"Science",NA,"No",4,20,27,NA
"Male",20315.5878252124,36,NA,3,9,1,"Science",16,"Yes",0,18,25,NA
"Male",26268.4312943911,39,7.59999996423721,7,27,1,"Art",NA,NA,0,NA,23,41090.4968775912
"Female",20376.3,38,8.19999992847442,NA,0,NA,"Science",NA,NA,0,NA,23,34580.6149959719
"Male",22502.3672450649,30,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,26,13555.274121092
"Male",8911.94184734255,44,NA,5,27,1,"Science",21,NA,0,24,27,23058.0601540938
"Female",19698.34,29,7.5,NA,0,NA,"Science",NA,NA,0,NA,25,11725.0531053378
"Female",8075.87966490238,41,7.39999997615816,4,27,1,"Science",20,"Somewhat",0,23,27,NA
"Female",21030.2183247473,38,7.79999995231626,4,27,1,"Science",17,"Yes",0,18,26,NA
"Male",58329.9275278225,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",10868.1356200164,32,7.79999995231626,3,22,4,"Science",20,"Yes",0,22,26,NA
"Male",72868.4282670084,46,NA,7,45,1,"Science",NA,"Somewhat",0,25,25,37657.7812985117
"Male",8752.6678809835,40,6.79999995231626,3,36,2,"Science",16,"No",0,17,27,NA
"Male",22811.16,34,7.19999998807905,4,36,2,"Science",NA,"Yes",3,21,25,17315.6197809184
"Male",26937.6510537815,33,8.09999990463258,NA,NA,NA,"Science",NA,NA,NA,NA,24,20981.1074502206
"Female",15430.4,31,6.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",18354.35,34,6.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",210202.615995008,37,NA,5,27,1,"Science",21,"Yes",0,26,24,NA
"Female",6730.37625321029,40,7.09999996423721,5,27,1,"Science",16,NA,0,23,26,20691.9924046332
"Male",5820.47957105351,23,NA,NA,18,0,"Science",NA,"Somewhat",4,21,25,NA
"Female",21548.57,30,7.39999997615816,3,18,1,"Science",17,"Somewhat",1,20,25,NA
"Female",24623.721561524,32,7.79999995231626,5,22,1,"Science",16,"Yes",0,24,24,NA
"Female",13161.5461852455,34,8.19999992847442,3,9,1,"Science",NA,"Yes",1,19,24,24168.4368445927
"Female",23496.189702526,46,8.79999995231626,5,63,1,"Art",17,NA,0,23,27,19123.6399903796
"Female",11953.9568732519,40,8.09999990463258,4,18,2,"Science",20,NA,0,23,25,19477.1710118018
"Female",17779.48,32,NA,3,18,1,"Science",NA,"Yes",0,17,25,NA
"Female",41871.3934201519,30,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,19864.6759943691
"Male",5946.62051589964,28,NA,3,9,1,"Science",17,"No",3,23,26,14810.9651800536
"Male",28261.96,33,NA,4,27,1,"Science",20,"Somewhat",0,19,27,NA
"Male",31707.124272377,38,NA,NA,NA,NA,"Science",NA,NA,0,NA,26,NA
"Male",17513.9133462165,34,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",24791.9094879855,38,7.19999998807905,3,18,1,"Science",NA,"Somewhat",0,18,24,22984.7302181565
"Male",42151.26,35,6.69999998807905,3,5,1,"Science",15,"Somewhat",0,18,24,21121.5443688159
"Female",17779.48,32,NA,3,13,1,"Science",NA,"Yes",0,25,25,21062.3422187015
"Female",19599.9481981187,34,NA,3,13,1,"Science",21,"No",0,24,24,39438.3868759597
"Female",11174.74,47,NA,NA,9,1,"Science",NA,"No",3,19,26,NA
"Female",25519.1540820051,41,NA,4,27,1,"Science",19,"Somewhat",0,NA,24,NA
"Male",22435.7648261862,37,NA,4,27,1,"Science",NA,"Yes",4,22,24,22984.7302181565
"Female",20045.48,38,NA,4,18,2,"Science",19,"Yes",0,22,23,NA
"Female",30751.6486621492,39,9,7,45,1,"Science",NA,"Yes",NA,22,26,NA
"Male",18668.1870855219,28,5.89999997615816,3,18,1,"Science",17,"No",0,20,26,18294.6417008509
"Male",34377.7803566593,28,6.5,NA,NA,0,"Science",NA,NA,NA,17,25,NA
"Female",18885.4858865101,31,6.19999998807905,3,27,1,"Science",16,"Yes",4,19,25,19618.280682103
"Male",22811.16,34,7.09999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,26,7438.11104776032
"Female",12167.39,39,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",13646.77,23,7.89999997615816,NA,0,NA,"Science",NA,NA,2,NA,25,23975.3571050149
"Male",NA,40,8.09999990463258,7,36,1,"Science",NA,"Somewhat",0,25,26,15402.1457415658
"Male",16536.07,42,8.09999990463258,7,54,1,"Science",21,NA,3,NA,26,NA
"Female",23268.7996259501,36,7.79999995231626,NA,NA,0,"Science",NA,NA,NA,NA,27,16839.143385253
"Female",17165.09,40,8.89999997615816,NA,0,0,"Science",NA,"No",3,18,25,NA
"Male",NA,38,7.29999995231626,4,29,1,"Science",NA,"Yes",4,20,24,NA
"Female",16305.31,35,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",22654.5773185126,40,NA,3,18,1,"Science",NA,"Somewhat",0,20,25,15297.1964754538
"Male",24817.6422407341,43,NA,3,45,2,"Art",NA,"No",1,21,27,10145.7684758642
"Female",5944.60226078211,33,6.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Female",5055.73,27,7.09999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,24,17851.9710784042
"Male",42584.3420404223,42,8,7,63,1,"Science",19,"Yes",0,26,26,24015.8903952921
"Female",640.8,44,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",47084.55,42,8.59999990463258,7,45,1,"Science",NA,"Somewhat",0,NA,25,15504.7403767073
"Male",25922.4687296598,54,8.5,7,31,3,"Science",NA,"Somewhat",2,22,25,NA
"Female",17880.06,35,8,NA,NA,NA,"Science",NA,NA,NA,NA,25,19386.517719439
"Male",23712.48,31,7.5,3,27,1,"Art",NA,NA,0,NA,23,NA
"Male",40807.1002215035,42,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",6263.99,38,8.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",5783.98279101137,32,7.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",13944.124607071,33,NA,4,24,1,"Science",17,"Somewhat",0,23,26,14008.7087708322
"Female",13614.98,34,7.5,NA,NA,0,"Science",NA,NA,NA,17,25,20930.8192602086
"Female",23592.39,38,8.59999990463258,4,27,1,"Art",20,NA,0,23,25,24162.718455093
"Male",11187.19,30,7.5,3,5,1,"Science",NA,"Yes",0,19,24,NA
"Female",17227.657495379,27,6.5,3,18,1,"Science",20,"Yes",3,21,24,NA
"Female",7824.9432786218,38,8,4,36,1,"Science",20,NA,2,22,25,NA
"Male",46929.8134964083,36,9.19999992847442,7,27,1,"Science",NA,"Somewhat",0,NA,25,23749.480719777
"Male",14127.449446914,18,NA,NA,0,NA,"Science",NA,"No",0,NA,26,NA
"Male",36699.9510573134,48,8.5,7,31,1,"Science",20,NA,0,NA,24,60382.6611702852
"Male",3588.12122312988,37,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",6759.98,33,7,3,18,1,"Science",16,"No",0,19,25,NA
"Male",11927.89,30,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,26,15761.3951524876
"Male",20841.5114712575,41,7.5,4,27,1,"Science",20,"Yes",0,23,24,NA
"Male",17130.4448738843,31,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,27,17568.5744223165
"Female",21548.57,37,7.29999995231626,3,18,1,"Science",NA,"Somewhat",0,21,27,22046.9143402072
"Female",13843.7164149734,37,9,NA,NA,NA,"Science",NA,NA,NA,NA,26,20372.4353443564
"Female",13458.5660633766,42,7.79999995231626,4,27,1,"Science",20,"No",0,NA,25,21942.1332620216
"Male",22005.5401102976,30,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,13610.7761368242
"Female",12326.32,44,8.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
